junction_id,latitude,longitude,reachable_nodes,average_distance,maximum_distance
6548218220,6.083511,80.645716,4117,199375.1,554123.15
1792790811,7.323546,81.802126,4117,256517.44,447438.5
1877453757,7.258626,81.749284,4117,249757.88,456093.25
1877424685,7.361879,81.803547,4117,255247.37,443047.61
9754473426,7.37974,81.733154,4117,247653.52,444662.57
12109482772,6.664057,79.93083,4117,134706.46,415077.96
2079537908,6.727649,80.187324,4117,128774.96,428398.81
1796923216,6.716396,80.191486,4117,129849.68,429774.2
3484165078,6.638708,80.312034,4117,141309.89,444829.96
1797964284,6.97133,80.265596,4117,119995.1,397698.24
3104873585,6.927231,80.338587,4117,130884.62,411236.42
1809637722,7.324894,80.625651,4117,135944.23,339689.4
3211942093,7.357135,80.566021,4117,139134.63,341263.74
2418603892,6.872815,81.350914,4117,198106.43,443647.23
