node_id,latitude,longitude,street_count,n_b_roads,b_roads,junction_type,is_b_b_junction,is_b_any_junction
3521419922,6.941419,79.986149,3,1,B214,B-Other,False,True
3603503554,6.93918,79.973265,3,1,B214,B-Other,False,True
635895564,6.953134,79.918978,2,2,B214;B215,B-B,True,False
4457419930,6.94993,79.916941,3,1,B214,B-Other,False,True
621126052,6.969434,79.954353,3,2,B221;B632,B-B,True,True
637858647,6.975097,79.949457,2,2,B221;B262,B-B,True,False
2760582902,6.93668,79.915387,3,1,B469,B-Other,False,True
403816178,6.937235,79.89622,2,2,B435;B96,B-B,True,False
2131864627,6.93285,79.893716,2,2,B231;B96,B-B,True,False
3705965291,6.932817,79.89355,2,2,B231;B96,B-B,True,False
2131864639,6.932654,79.89044,2,2,B232;B96,B-B,True,False
258053453,6.908812,79.895278,3,1,B470,B-Other,False,True
2122125311,6.908625,79.89541,4,1,B470,B-Other,False,True
672817127,6.887012,79.887167,3,2,B307;B470,B-B,True,True
403881228,7.221916,79.863565,3,2,B322;B324,B-B,True,True
403881262,7.235844,79.878896,2,2,B322;B597,B-B,True,False
403881289,7.248063,79.899349,2,2,B322;B468,B-B,True,False
403881294,7.250807,79.905405,2,2,B289;B322,B-B,True,False
403881317,7.260851,79.939365,2,2,B228;B322,B-B,True,False
403899785,6.98125,79.888054,3,1,B459,B-Other,False,True
403899879,7.06916,79.8532,3,1,B596,B-Other,False,True
403899928,7.093991,79.847143,3,2,B425;B596,B-B,True,True
445265132,6.604548,80.091996,2,2,B157;B310,B-B,True,False
265731258,6.625681,80.077037,2,2,B157;B310,B-B,True,False
560221964,6.559587,79.977533,2,2,B207;B302,B-B,True,False
560221970,6.568706,79.989221,3,3,B191;B207;B304,B-B,True,True
13574349086,8.338757,80.395294,4,1,B638,B-Other,False,True
1401456469,8.327786,80.361388,3,1,B234,B-Other,False,True
1249855906,6.809861,79.883026,3,2,B388;B545,B-B,True,True
3377606381,6.135125,81.077229,3,1,B562,B-Other,False,True
10132667228,6.434815,81.130343,3,1,B427,B-Other,False,True
3147073493,6.430259,81.092077,2,2,B427;B528,B-B,True,False
13689191650,6.297848,81.236812,3,1,B464,B-Other,False,True
1239435107,7.619802,80.245735,3,1,B079,B-Other,False,True
635164975,6.846425,79.94838,4,1,B47,B-Other,False,True
3167605964,7.284373,80.065795,3,2,B237;B322,B-B,True,True
617823428,7.3135,80.109594,2,2,B290;B322,B-B,True,False
2562843827,7.32465,80.123399,3,1,B322,B-Other,False,True
6547922849,7.434456,80.217386,3,1,B247,B-Other,False,True
617810971,7.330012,80.122654,3,2,B308;B322,B-B,True,True
638927829,7.169333,79.948236,3,1,B111,B-Other,False,True
1847947621,7.184365,79.963868,2,2,B108;B111,B-B,True,False
617812791,7.230694,79.908774,2,2,B289;B324,B-B,True,False
639297344,7.08436,80.078864,2,2,B416;B479,B-B,True,False
445260245,7.073259,80.269521,3,1,B127,B-Other,False,True
6230885416,6.909331,79.896049,4,1,B62,B-Other,False,True
10219043288,6.909614,79.895798,3,1,B62,B-Other,False,True
570766423,7.323298,80.396858,4,3,B199;B384;B385,B-B,True,True
11959629970,6.876256,79.900739,3,2,B120;B291,B-B,True,True
