node_id,latitude,longitude,street_count
31363877,6.057753,80.217612,4
33389197,5.948698,80.547196,3
33389255,5.973052,80.361972,3
33389341,5.942888,80.568388,3
33389417,5.928262,80.587898,3
33389466,5.984559,80.724883,3
33389625,6.124552,81.122354,3
35436490,7.265772,80.592541,3
41607659,6.126186,81.125903,3
41607666,6.131726,81.126301,3
41607686,6.152355,81.144462,3
41607687,6.153003,81.14459,3
44265232,6.728308,81.102857,4
44265234,6.732073,81.101954,3
44265239,6.735286,81.099451,3
44534440,6.03102,80.217129,3
44534497,6.032754,80.217485,3
44534546,6.032962,80.217665,3
44534576,6.033364,80.218074,3
47811685,6.07409,80.197886,3
47817820,6.038247,80.221025,3
47822231,6.037348,80.228239,3
47824104,6.035586,80.220339,3
47824132,6.035447,80.220135,3
47824157,6.0359,80.220177,3
47824192,6.035822,80.220729,3
47824936,6.03757,80.227257,3
47826162,6.033533,80.21794,3
49364006,6.874294,81.046791,3
49364356,6.873478,81.031248,3
49365524,6.830721,80.988781,3
49365945,6.833327,80.984699,3
49368092,6.894038,80.87,3
49368243,6.906296,80.914051,3
49371992,6.976945,80.762255,3
49378902,7.134396,80.597819,3
50366409,7.146537,80.097002,3
50392728,6.045263,80.223014,3
50415021,6.72506,79.906574,3
50415165,6.629178,79.943101,3
50415206,6.561112,79.968943,3
50422936,6.797428,79.888573,4
50422994,6.851314,79.865903,4
50760908,6.032977,80.2168,3
50762807,6.035218,80.219815,2
50767449,6.059182,80.203604,4
53095670,6.033683,80.218033,2
54398901,6.055758,80.181158,3
54399243,6.030794,80.217134,3
59947552,6.032158,80.239635,3
60654455,5.960561,80.456307,3
60796641,6.909574,79.866169,2
60796731,6.891381,79.868371,4
60796751,6.890471,79.864415,3
60797056,6.86242,79.863849,4
60797372,6.861148,79.864128,3
60797432,6.851321,79.866066,4
60797439,6.847521,79.866065,4
60797501,6.909082,79.865785,3
60797607,6.608353,79.952617,3
60797926,6.071555,80.163101,3
60797978,6.058963,80.203419,3
60797984,6.059077,80.203683,3
60798009,6.812814,79.880774,3
60798033,6.849682,79.877005,3
61802472,6.943806,79.878178,4
61802550,6.950346,79.878467,6
61802753,6.909286,79.860754,3
62783063,6.896923,79.877141,3
77368738,6.032655,80.216831,3
77373725,6.00357,80.717223,3
77374718,6.046424,80.73308,3
77374761,6.048187,80.733577,3
77379011,6.032906,80.796545,3
77379074,6.02867,80.794891,3
77381284,6.830251,80.988599,3
77512695,6.856872,81.021914,2
77682074,6.966753,80.771818,3
77682693,6.973199,80.765422,3
77684317,6.959873,80.770946,3
77844809,6.829735,80.993331,3
82800337,6.091235,80.193316,3
91030247,6.931298,79.84231,3
91030442,6.931412,79.842878,3
