u,v,length_m,highway,name,oneway,ref
49368092,10110604172,12872.922579311151,primary,Keppetipola-Boralande-Haputale Road,False,B353
49368243,1147075948,13724.341341810417,trunk,Nuwara Eliya-Badulla Road,False,A5
49368243,2915447204,9545.089661905211,primary,Bandarawela-Welimada Road,False,B44
49368243,2026114937,351.41776503154233,trunk,Nuwara Eliya-Badulla Road,False,A5
49371992,6233687374,220.9476644863543,primary,Bandaranaike Mawatha,False,B331
49371992,77682693,608.455498087745,trunk,Queen Elizabeth Drive,False,A5
49371992,3584750699,552.0827390859297,trunk,Kandy Road,False,A5
49378902,3803459185,7395.780327704151,primary,Atabage-Dunukeulla Road,False,B621
49378902,3217407684,1393.4015711438212,trunk,Nuwara Eliya Road,False,A5
49378902,1834922625,12237.541873641989,trunk,Nuwara Eliya Road,False,A5
50366409,617823296,4160.765647352335,trunk,Colombo-Kandy Road,False,A1
50366409,324965926,335.9360775890669,trunk,Colombo-Kandy Road,False,A1
50366409,324965995,330.9629780008951,trunk,Colombo-Kandy Road,False,A1
50392728,31363877,1523.4489777803315,primary,Henry Pedris Mawatha (Hirimbura Road),False,B128
50392728,1242562192,304.46188241468514,primary,Olcott Mawatha,False,B128
50392728,1364675869,209.39839057567465,primary,H. K. Edmond Mawatha,False,B109
50415021,2339297877,9.786177622328667,trunk_link,,False,
50415021,665685894,196.87949808937424,trunk,Galle Road,True,A2
50415165,12109482770,4154.12525690179,trunk,Galle Road,False,A2
50415165,1138325237,2352.628101421247,trunk,Galle Road,False,A2
50415165,1795375615,5268.988335475314,primary,Waskaduwa-Bandaragama Road,False,B458
50415206,9634869050,19.60995242044626,trunk,Galle Road,True,A2
50415206,10130181954,9.774441289105324,primary_link,,False,
50422936,1278003886,11.199011996189471,primary_link,Katubedda-Piliyandala Road,False,
50422936,2361900649,282.72137840280834,trunk,Galle Road,True,A2
50422936,694987695,1809.550968067558,primary,Katubedda-Kospelena Road,False,B204
50422994,1533913627,30.95769114532755,primary,Railway Station Road,False,
50422994,60797432,18.06916527979088,primary,,False,
50422994,1838453702,39.44738852036642,secondary,,True,
50760908,1235775273,34.3947424301307,primary,Wakwella Road,True,B130
50760908,5182838447,177.67905144665593,primary,Wakwella Road,False,B130
50762807,47824132,43.58457510205871,trunk,Main Street,False,Old-A2
50767449,60797984,14.5249659552941,primary,Wakwella Road,False,B130
50767449,60797978,31.64729129970451,secondary,Kalegana-Gintota Road,True,
50767449,47811685,1929.1842109387728,primary,Wakwella Road,False,B130
50767449,102750385,1439.0657590284266,secondary,Kalegana - Karapitiya Road,False,
53095670,47826162,19.49435625945503,trunk,Main Street,False,Old-A2
53095670,50762807,260.7167023098085,trunk,Main Street,True,Old-A2
54398901,60797978,2954.3295822997584,secondary,Kalegana-Gintota Road,False,
54398901,1781355217,1065.9441947904702,trunk,Galle Road,False,A2
54398901,7095171150,3568.449395602604,trunk,Galle Road,False,A2
54399243,4796130131,339.02836173176087,primary,Baladaksha Mawatha,False,B37
54399243,1235775050,19.59554256772985,primary,Baladaksha Mawatha,True,B37
59947552,6492867596,1304.4375188705828,trunk,Akuressa Road,False,A17
59947552,8703211017,546.3724385768845,trunk,Matara Road,False,A2
59947552,309913698,188.50371828543953,trunk,Matara Road,False,A2
60654455,1231879141,7549.24345890907,secondary,Kamburugamuwa - Heanwala Road,False,
60654455,1231879141,6118.292848401263,trunk,Matara Road,False,A2
60654455,1675705732,243.06514426080494,trunk,Matara Road,False,A2
60796641,8701260315,188.3109642676413,secondary,Maitland Crescent,False,
60796731,13698430208,7.998924002896972,secondary,Fife Road,True,
60796731,13698430212,132.38491213730435,primary,Ven. Murutthettuwe Ananda Nahimi Mawatha (Thimbirigasyaya Road),True,
60796751,3742220437,69.56154539620367,primary,Ven. Murutthettuwe Ananda Nahimi Mawatha (Thimbirigasyaya Road),True,
60796751,9465124703,265.5480110928668,primary,Ven. Murutthettuwe Ananda Nahimi Mawatha (Thimbirigasyaya Road),False,
60797056,635164747,12.89684125034852,primary,Kotagama Sri Vachissara Mawatha,False,
60797056,635164739,226.2608456986703,primary,Kotagama Sri Vachissara Mawatha,False,B229
60797056,60797372,144.1291780472259,trunk,Galle Road,True,A2
60797372,621950451,228.04563829813185,primary,Anagarika Dharmapala Mawatha (Allen Avenue),False,B11
60797372,1249801968,913.2093759407792,trunk,Galle Road,True,A2
60797432,1533913610,18.560908643217985,secondary,,True,
60797432,50422994,18.06916527979088,primary,,False,
60797432,1533913594,33.312683310251025,primary,Hill Street (Dehiwela-Maharagama Road),False,B94
60797439,6388461497,8.30307919706129,primary,Kawdana Road,False,B547
60797439,598720858,1820.5917045828994,primary,Kawdana Road,False,B547
60797439,10603977997,1906.126514105971,trunk,Galle Road,True,A2
60797501,60796641,69.03127801903797,secondary,Maitland Crescent,True,
60797501,9981050817,126.74982124332283,secondary,Maitland Crescent,False,
60797607,7103760769,5.737989641789137,primary_link,,True,
60797607,1138325237,199.3106675861649,trunk,Galle Road,True,A2
60797926,6322017693,2409.5095667968526,primary,"['Racecourse Road', 'Kendala Road']",False,B61
60797926,3090456359,6431.443333586588,trunk,Galle Road,False,A2
60797926,1781355217,1673.359310340018,trunk,Galle Road,False,A2
60797978,60797984,31.771893269669526,secondary,Kalegana-Gintota Road,True,
60797978,54398901,2954.3295822997575,secondary,Kalegana-Gintota Road,False,
60797984,50767449,14.5249659552941,primary,Wakwella Road,False,B130
60797984,1139090033,835.3818752683499,primary,Wakwella Road,False,B130
60798009,7085506299,12.42495017962359,trunk_link,Air Port Road,True,
60798009,7085495071,1092.565359681876,trunk,Galle Road,True,A2
60798033,208541195,246.43533888806118,primary,Hill Street (Dehiwela-Maharagama Road),False,B94
60798033,150994801,555.5456498053707,primary,Hill Street (Dehiwela-Maharagama Road),False,B94
60798033,598720858,1124.026716281706,secondary,Cpt.Sumudu Rajapaksha Mawatha,False,
61802472,253022446,13.49750485977417,primary_link,,False,
61802472,1431441533,634.05652534005,trunk,"['Baseline Road', 'Dr. Danister de Silva Mawatha']",True,A1
61802472,4422645697,41.779990813337996,primary,Stace Road,False,
61802550,253022456,36.45854002437077,trunk,New Kelani Bridge Road,True,A1
61802550,1431441535,43.082116195820426,primary_link,,True,
61802550,664501764,88.14178167360205,primary,New Kelani Bridge Road,True,
61802753,1280044912,206.28754848150447,primary,Sir Marcus Fernando Mawatha,False,
61802753,1583879162,91.04250526639417,primary,Albert Crescent,True,
62783063,637603462,15.51569303070852,primary,,True,
62783063,191814043,299.2966901363862,trunk,Elvitigala Mawatha,True,AC8
77368738,5234940056,18.28551789182923,trunk,,True,
