source,target,distance_m,hops
258029156,44265234,151161.78618780346,51
258029156,603240642,151097.3296771507,50
258029156,49364356,120821.1473348347,46
258029156,59947552,219152.87235237157,108
258029156,3390634865,67456.69335508735,26
258029156,98554769,235375.0166834166,105
258029156,5693657962,6307.497132841753,21
258029156,310860950,116728.10883026359,71
258029156,8014319683,106798.79081252676,56
258029156,603240427,118380.71551597933,36
258029156,617967952,50003.39159383551,41
258029156,7087535778,49983.49466613782,40
258029156,617968149,32870.053912460986,35
258029156,634172980,226848.24679790085,92
258029156,665214512,110168.81766405892,139
258029156,665214513,110096.65061561491,138
258029156,4136824664,314018.15372598375,107
258029156,7599684152,77864.45222572015,40
258029156,6537569534,178417.49366015993,55
258029156,4136824665,314046.49277749454,108
258029156,3174892783,43539.233751161446,44
258029156,1239489717,43546.46814994044,44
258029156,1242694031,180789.40887833806,58
258029156,4139418521,180754.6691497463,57
258029156,2155580115,97181.47853142257,78
258029156,6524681177,109548.70172695463,135
258029156,5217538839,254144.96540700397,95
258029156,7042347620,261605.13168633735,99
258029156,13743364556,175660.16069928624,52
258029156,1684534515,194724.4306155794,69
258029156,11715824040,194718.53925240104,68
258029156,1809805397,159785.30546618265,60
258029156,1728838958,181675.52149311244,89
258029156,7085505934,181654.95040882623,88
258029156,1732642149,199339.6208734386,80
258029156,1886079221,144422.57481600702,71
258029156,1735981103,261585.54173790867,98
258029156,7042347632,261577.8767804713,97
258029156,1740742111,164536.0513342662,56
258029156,1750869639,149210.1993776872,89
258029156,1783974992,109457.2808553904,48
258029156,10016226413,109449.07148076098,48
258029156,1945675344,159777.06207424533,60
258029156,1797964180,79259.87652300688,61
258029156,4959610635,135484.28691540833,50
258029156,1985676681,208975.97132953678,54
258029156,13749558430,144399.54252425488,70
258029156,4212767857,175650.5331013862,52
258029156,3527283166,143005.6658611966,47
258029156,1981147403,77872.6119451408,41
258029156,2011981296,115661.7100438891,37
258029156,5372968715,107907.74325293773,136
258029156,3794035028,31607.810654682064,29
258029156,3849049820,97159.74572459595,79
258029156,2339297860,132882.1390950821,179
258029156,2339297862,132894.67859356894,180
258029156,6289622879,76543.96759009511,39
258029156,3088508709,9189.742676867041,15
258029156,3088508720,9192.96893599701,15
258029156,3136385191,107926.38595418012,136
258029156,3237363036,181408.71598432114,85
258029156,3237363045,181413.96082333216,87
258029156,4137095171,181394.4675707097,86
258029156,3474422106,314030.41900723154,108
258029156,4136824662,314032.0369576024,107
258029156,4137349478,142560.16886478144,92
258029156,6537569535,178439.28990016633,56
